ID,addr_o
45263552000_file13,"Москва, Бульвар Маршала Рокоссовского, 13"
45263552000_file13,"Москва, Бульвар Маршала Рокоссовского, 14"
45263552000_file13,"Москва, Бульвар Маршала Рокоссовского, 15"
45263552000_file13,"Москва, Бульвар Маршала Рокоссовского, 16"
45263552000_file13,"Москва, Бульвар Маршала Рокоссовского, 17"
45263552000_file13,"Москва, Бульвар Маршала Рокоссовского, 18"
45263552000_file13,"Москва, Бульвар Маршала Рокоссовского, 19"
45263552000_file13,"Москва, Бульвар Маршала Рокоссовского, 16"
45263552000_file13,"Москва, Бульвар Маршала Рокоссовского, 20"
45263552000_file13,"Москва, Бульвар Маршала Рокоссовского, 18"
45263552000_file13,"Москва, Улица Бойцовая, 24 (к. 2, 3)"
45263552000_file14,"Москва, Улица Ивантеевская, 3 (к. 1-5)"
45263552000_file14,"Москва, Улица Ивантеевская, 5 (к. 1, 2)"
45263552000_file14,"Москва, Улица Ивантеевская, 6"
45263552000_file14,"Москва, Улица Ивантеевская, 8"
45263552000_file14,"Москва, Улица Ивантеевская, 10"
45263552000_file14,"Москва, Улица Погонный, 7"
45263552000_file14,"Москва, Улица Погонный, 1"
45263552000_file14,"Москва, Улица Погонный, 7"
45263552000_file14,"Москва, Улица Погонный, 10"
45263552000_file14,"Москва, Улица Погонный, 12"
45263552000_file14,"Москва, Улица Погонный, 1"
45263552000_file14,"Москва, Улица Погонный, 14"
45263552000_file14,"Москва, Улица Погонный, 1"
45263552000_file14,"Москва, Улица Погонный, 27"
45263552000_file14,"Москва, Улица Погонный, 33"
45263552000_file14,"Москва, Улица Погонный, 48"
45263552000_file14,"Москва, Проезд Погонный, 50"
45263552000_file14,"Москва, Проезд Погонный, 52"
45263552000_file14,"Москва, Бульвар Маршала Рокоссовского, 30"
45263552000_file14,"Москва, Бульвар Маршала Рокоссовского, 32"
45263552000_file14,"Москва, Бульвар Маршала Рокоссовского, 34"
45263552000_file14,"Москва, Бульвар Маршала Рокоссовского, 36"
45263552000_file14,"Москва, Бульвар Маршала Рокоссовского, 1"
45263552000_file14,"Москва, Бульвар Маршала Рокоссовского, 40"
45263552000_file14,"Москва, Бульвар Маршала Рокоссовского, 42"
45263552000_file15,"Москва, Улица Ивантеевская, 1 (к. 1-6)"
45263552000_file15,"Москва, Улица Ивантеевская, 16"
45263552000_file15,"Москва, Улица Ивантеевская, 18"
45263552000_file15,"Москва, Улица Ивантеевская, 20"
45263552000_file15,"Москва, Улица Ивантеевская, 1"
45263552000_file15,"Москва, Улица 3-я пр-д Подбельского, 14 (к. 2, 3)"
45263552000_file15,"Москва, Улица 3-я пр-д Подбельского, 16"
45263552000_file15,"Москва, Улица 3-я пр-д Подбельского, 16"
45263552000_file15,"Москва, Улица 3-я пр-д Подбельского, 16"
45263552000_file15,"Москва, Улица 3-я пр-д Подбельского, 18"
45263552000_file15,"Москва, Улица 3-я пр-д Подбельского, 18"
45263552000_file15,"Москва, Улица 3-я пр-д Подбельского, 18"
45263552000_file15,"Москва, Бульвар Маршала Рокоссовского, 22"
45263552000_file15,"Москва, Бульвар Маршала Рокоссовского, 23"
45263552000_file15,"Москва, Бульвар Маршала Рокоссовского, 24"
45263552000_file15,"Москва, Бульвар Маршала Рокоссовского, 26"
45263552000_file15,"Москва, Бульвар Маршала Рокоссовского, 28"
45263552000_file15,"Москва, Бульвар Маршала Рокоссовского, 14"
45263552000_file15,"Москва, Улица Бойцовая, 23"
45263552000_file15,"Москва, Улица Бойцовая, 25"
45263552000_file15,"Москва, Улица Бойцовая, 25"
45263552000_file15,"Москва, Улица Бойцовая, 27"
45263552000_file15,"Москва, Улица Бойцовая, 29"
45263552000_file15,"Москва, Проезд Погонный, 7 (к. 2, 3)"
45263552000_file16,"Москва, Улица Ивантеевская, 2 (к. 1-4)"
45263552000_file16,"Москва, Улица Ивантеевская, 2"
45263552000_file16,"Москва, Улица Ивантеевская, 2"
45263552000_file16,"Москва, Улица Ивантеевская, 2"
45263552000_file16,"Москва, Улица Ивантеевская, 4 (к. 1, 2)"
45263552000_file16,"Москва, Бульвар Маршала Рокоссовского, 38"
45263552000_file16,"Москва, Проезд Погонный, 5 (к. 1-5)"
45263552000_file16,"Москва, Проезд Погонный, 9"
45263552000_file16,"Москва, Проезд Погонный, 11"
45263552000_file16,"Москва, Проезд Погонный, 14"
45263552000_file16,"Москва, Проезд Погонный, 2"
45263552000_file16,"Москва, Проезд Погонный, 23 (к. 1-4)"
45263552000_file16,"Москва, Проезд Погонный, 25"
45263552000_file16,"Москва, Улица Лосиноостровская, 22"
45263552000_file16,"Москва, Улица Лосиноостровская, 22"
45263552000_file16,"Москва, Улица Лосиноостровская, 3"
45263552000_file17,"Москва, Шоссе Открытое, 1 (к. 1-12)"
45263552000_file17,"Москва, Бульвар Маршала Рокоссовского, 1"
45263552000_file17,"Москва, Бульвар Маршала Рокоссовского, 1"
45263552000_file17,"Москва, Бульвар Маршала Рокоссовского, 3"
45263552000_file17,"Москва, Бульвар Маршала Рокоссовского, 5"
45263552000_file17,"Москва, Бульвар Маршала Рокоссовского, 7 (к. 1-4)"
45263552000_file18,"Москва, Шоссе Открытое, 3 (к. 1-13)"
45263552000_file18,"Москва, Бульвар Маршала Рокоссовского, 1"
45263552000_file18,"Москва, Бульвар Маршала Рокоссовского, 1"
45263552000_file18,"Москва, Бульвар Маршала Рокоссовского, 3"
45263552000_file18,"Москва, Бульвар Маршала Рокоссовского, 5"
45263552000_file18,"Москва, Бульвар Маршала Рокоссовского, 7 (к. 1-4)"
45263552000_file19,"Москва, Шоссе Открытое, 3 (к. 1-13)"
45263552000_file19,"Москва, Бульвар Маршала Рокоссовского, 5"
45263552000_file19,"Москва, Бульвар Маршала Рокоссовского, 8"
45263552000_file19,"Москва, Бульвар Маршала Рокоссовского, 2"
45263552000_file19,"Москва, Бульвар Маршала Рокоссовского, 3"
45263552000_file19,"Москва, Бульвар Маршала Рокоссовского, 4"
45263552000_file19,"Москва, Бульвар Маршала Рокоссовского, 6"
45263552000_file19,"Москва, Бульвар Маршала Рокоссовского, 8 (к. 1-4)"
45263552000_file20,"Москва, Переулок Алымов, 4"
45263552000_file20,"Москва, Улица Просторная, 3"
45263552000_file20,"Москва, Улица Просторная, 5"
45263552000_file20,"Москва, Улица Просторная, 7"
45263552000_file20,"Москва, Улица Просторная, 9"
45263552000_file20,"Москва, Улица Просторная, 11"
45263552000_file20,"Москва, Улица Просторная, 13"
45263552000_file20,"Москва, Улица Просторная, 15 (к. 1, 2)"
45263552000_file20,"Москва, Улица 4-я Гражданская, 43 (1-8)"
45263552000_file20,"Москва, Улица 4-я Гражданская, 41 (к. 1, 2)"
45263552000_file20,"Москва, Улица 4-я Гражданская, 36"
45263552000_file21,"Москва, Улица Ивантеевская, 19"
45263552000_file21,"Москва, Улица Ивантеевская, 21"
45263552000_file21,"Москва, Улица Ивантеевская, 23"
45263552000_file21,"Москва, Улица Ивантеевская, 25"
45263552000_file21,"Москва, Улица Ивантеевская, 30"
45263552000_file21,"Москва, Улица Ивантеевская, 1"
45263552000_file21,"Москва, Улица Ивантеевская, 32 (к. 1, 2)"
45263552000_file21,"Москва, Улица Ивантеевская, 32"
45263552000_file21,"Москва, Проезд 5-й Подбельского, 4"
45263552000_file21,"Москва, Проезд 5-й Подбельского, 4"
45263552000_file21,"Москва, Проезд 5-й Подбельского, 1"
45263552000_file21,"Москва, Проезд 5-й Подбельского, 5"
45263552000_file21,"Москва, Проезд 5-й Подбельского, 10"
45263552000_file21,"Москва, Проезд 5-й Подбельского, 6"
45263552000_file21,"Москва, Проезд 5-й Подбельского, 6"
45263552000_file21,"Москва, Проезд 5-й Подбельского, 8"
45263552000_file21,"Москва, Проезд 5-й Подбельского, 8"
45263552000_file21,"Москва, Проезд 5-й Подбельского, 10"
45263552000_file21,"Москва, Проезд 5-й Подбельского, 6"
45263552000_file21,"Москва, Проезд 6-й Подбельского, 8"
45263552000_file21,"Москва, Проезд 6-й Подбельского, 10"
45263552000_file21,"Москва, Проезд 6-й Подбельского, 10"
45263552000_file21,"Москва, Проезд 6-й Подбельского, 14"
45263552000_file21,"Москва, Проезд 6-й Подбельского, 16"
45263552000_file21,"Москва, Шоссе Открытое, 9"
45263552000_file22,"Москва, Шоссе Открытое, 9"
45263552000_file22,"Москва, Шоссе Открытое, 5"
45263552000_file22,"Москва, Шоссе Открытое, 14"
45263552000_file22,"Москва, Шоссе Открытое, 5 (к. 1-13)"
45263552000_file22,"Москва, Улица Ивантеевская, 30"
45263552000_file22,"Москва, Улица Ивантеевская, 2"
45263552000_file22,"Москва, Улица Ивантеевская, 32"
45263552000_file22,"Москва, Улица Ивантеевская, 3"
45263552000_file22,"Москва, Улица Ивантеевская, 32"
45263552000_file23,"Москва, Улица Ивантеевская, 7"
45263552000_file23,"Москва, Улица Ивантеевская, 20"
45263552000_file23,"Москва, Улица Ивантеевская, 9"
45263552000_file23,"Москва, Улица Ивантеевская, 9"
45263552000_file23,"Москва, Улица Ивантеевская, 11"
45263552000_file23,"Москва, Улица Ивантеевская, 11"
45263552000_file23,"Москва, Улица Ивантеевская, 13"
45263552000_file23,"Москва, Улица Ивантеевская, 15 (к. 1, 2)"
45263552000_file23,"Москва, Улица Ивантеевская, 17 (к. 1, 2)"
45263552000_file23,"Москва, Улица Ивантеевская, 22"
45263552000_file23,"Москва, Улица Ивантеевская, 24"
45263552000_file23,"Москва, Улица Ивантеевская, 28 (к. 1-5)"
45263552000_file23,"Москва, Улица 3-й Подбельского, 22"
45263552000_file23,"Москва, Улица 3-й Подбельского, 24"
45263552000_file23,"Москва, Улица 3-й Подбельского, 26"
45263552000_file23,"Москва, Проезд 4-й Подбельского, 2"
45263552000_file23,"Москва, Проезд 4-й Подбельского, 1"
45263552000_file23,"Москва, Проезд 4-й Подбельского, 4"
45263552000_file23,"Москва, Проезд 4-й Подбельского, 2"
45263552000_file23,"Москва, Проезд 4-й Подбельского, 6"
45263552000_file23,"Москва, Улица Бойцовая, 22"
45263552000_file23,"Москва, Улица Бойцовая, 24"
45263555000_file1,"Москва, Улица Молдагуловой, 9"
45263555000_file1,"Москва, Улица Молдагуловой, 30"
45263555000_file1,"Москва, Улица Молдагуловой, 32"
45263555000_file1,"Москва, Улица Молдагуловой, 28"
45263555000_file1,"Москва, Улица Молдагуловой, 4"
45263555000_file1,"Москва, Улица Косинская, 24"
45263555000_file1,"Москва, Улица Косинская, 1"
45263555000_file1,"Москва, Улица Косинская, 24"
45263555000_file1,"Москва, Улица Косинская, 2"
45263555000_file1,"Москва, Улица Косинская, 22"
45263555000_file2,"Москва, Улица Вешняковская, 41"
45263555000_file2,"Москва, Улица Вешняковская, 1"
45263555000_file2,"Москва, Улица Вешняковская, 41"
45263555000_file2,"Москва, Улица Вешняковская, 2"
45263555000_file2,"Москва, Улица Вешняковская, 41"
45263555000_file2,"Москва, Улица Вешняковская, 3"
45263555000_file2,"Москва, Улица Вешняковская, 39"
45263555000_file2,"Москва, Улица Молдагуловой, 11"
45263555000_file2,"Москва, Улица Молдагуловой, 1"
45263555000_file2,"Москва, Улица Молдагуловой, 11"
45263555000_file2,"Москва, Улица Молдагуловой, 2"
45263555000_file3,"Москва, Улица Косинская, 24"
45263555000_file3,"Москва, Улица Косинская, 3"
45263555000_file3,"Москва, Улица Косинская, 28"
45263555000_file3,"Москва, Улица Косинская, 1"
45263555000_file3,"Москва, Улица Косинская, 28"
45263555000_file3,"Москва, Улица Косинская, 2"
45263555000_file3,"Москва, Улица Косинская, 28"
45263555000_file3,"Москва, Улица Косинская, 3"
45263555000_file3,"Москва, Улица Косинская, 26"
45263555000_file3,"Москва, Улица Косинская, 1"
45263555000_file3,"Москва, Улица Косинская, 26"
45263555000_file3,"Москва, Улица Косинская, 2"
45263555000_file3,"Москва, Улица Вешняковская, 33"
45263555000_file3,"Москва, Улица Молдагуловой, 15"
45263555000_file3,"Москва, Улица Молдагуловой, 1"
45263555000_file3,"Москва, Улица Молдагуловой, 15"
45263555000_file3,"Москва, Улица Молдагуловой, 2"
45263555000_file4,"Москва, Улица Вешняковская, 25"
45263555000_file4,"Москва, Улица Вешняковская, 2"
45263555000_file4,"Москва, Улица Вешняковская, 27"
45263555000_file4,"Москва, Улица Вешняковская, 3"
45263555000_file4,"Москва, Улица Вешняковская, 27"
45263555000_file4,"Москва, Улица Вешняковская, 4"
45263555000_file4,"Москва, Улица Вешняковская, 27"
45263555000_file4,"Москва, Улица Вешняковская, 5"
45263555000_file4,"Москва, Улица Косинская, 4"
45263555000_file4,"Москва, Улица Косинская, 1"
45263555000_file4,"Москва, Улица Косинская, 4"
45263555000_file4,"Москва, Улица Косинская, 2"
45263555000_file4,"Москва, Улица Косинская, 6"
45263555000_file4,"Москва, Улица Косинская, 1"
45263555000_file5,"Москва, Улица Косинская, 14"
45263555000_file5,"Москва, Улица Косинская, 1"
45263555000_file5,"Москва, Улица Косинская, 2"
45263555000_file5,"Москва, Улица Косинская, 3"
45263555000_file5,"Москва, Улица Косинская, 4"
45263555000_file5,"Москва, Улица Косинская, 16"
45263555000_file5,"Москва, Улица Косинская, 1"
45263555000_file5,"Москва, Улица Косинская, 2"
45263555000_file5,"Москва, Улица Косинская, 3"
45263555000_file5,"Москва, Улица Косинская, 4"
45263555000_file5,"Москва, Улица Косинская, 16"
45263555000_file5,"Москва, Улица Косинская, 1"
45263555000_file5,"Москва, Улица Косинская, 2"
45263555000_file5,"Москва, Улица Косинская, 3"
45263555000_file5,"Москва, Улица Косинская, 20"
